Iteratie: 1
Epoca 9: tensor(1.5950, grad_fn=<DivBackward0>)
Iteratie: 32
Epoca 0: tensor(2.0379, grad_fn=<DivBackward0>)
Epoca 1: tensor(1.8129, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.7163, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.6693, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.6385, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.6087, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.5914, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.5815, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.5736, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.5877, grad_fn=<DivBackward0>)
Iteratie: 33
Epoca 0: tensor(2.0231, grad_fn=<DivBackward0>)
Epoca 1: tensor(1.8410, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.7464, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.7009, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.6590, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.6430, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.6251, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.6299, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.6233, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.6153, grad_fn=<DivBackward0>)
Iteratie: 34
Epoca 0: tensor(1.9736, grad_fn=<DivBackward0>)
Epoca 1: tensor(1.7925, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.6994, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.6562, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.6473, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.6225, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.6090, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.6008, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.5967, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.5968, grad_fn=<DivBackward0>)
Iteratie: 35
Epoca 0: tensor(2.0010, grad_fn=<DivBackward0>)
Epoca 1: tensor(1.8034, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.7184, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.6721, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.6357, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.6204, grad_fn=<DivBackward0>)
